iter	Logloss
0	0.6710088841
1	0.6513259555
2	0.6308337742
3	0.6139007854
4	0.5975977971
5	0.5803761318
6	0.5659904936
7	0.5544968823
8	0.5420414582
9	0.5321675374
10	0.5213109384
11	0.5131445749
12	0.5059837637
13	0.4982199885
14	0.4909064892
15	0.4815125592
16	0.4758437156
17	0.4700235282
18	0.465378962
19	0.4599966878
20	0.4547111568
21	0.4493425131
22	0.4432664856
23	0.4392030518
24	0.4331392746
25	0.4289285234
26	0.4266796257
27	0.4228110317
28	0.4199674016
29	0.4168767708
30	0.4150109395
31	0.4127890433
32	0.4109753445
33	0.4095366479
34	0.4064141467
35	0.4044546711
36	0.4019993004
37	0.400817348
38	0.3987601937
39	0.3963456042
40	0.3946076038
41	0.3931274112
42	0.3915298928
43	0.3897401178
44	0.3874975554
45	0.3869050751
46	0.3864100958
47	0.3856545968
48	0.3849055824
49	0.3836913103
50	0.3826980696
51	0.381929024
52	0.3805003085
53	0.3798885513
54	0.3787767778
55	0.378068232
56	0.3770422559
57	0.3755301617
58	0.3743618393
59	0.3732543181
60	0.3723035267
61	0.3711797901
62	0.3706097916
63	0.369623213
64	0.3687215244
65	0.3680384162
66	0.3674592223
67	0.3668825946
68	0.3662894796
69	0.3655782054
70	0.3639911845
71	0.3634247698
72	0.362960041
73	0.3622924785
74	0.3613297731
75	0.360250283
76	0.3593809419
77	0.3588222181
78	0.3583401789
79	0.3574439161
80	0.3569811071
81	0.3563792495
82	0.3559941908
83	0.3556992563
84	0.3552583256
85	0.3547559688
86	0.35419291
87	0.3535182604
88	0.3528897649
89	0.3524852979
90	0.3521355731
91	0.3514289654
92	0.3510943607
93	0.3508388492
94	0.3502782772
95	0.3499848295
96	0.3493115739
97	0.3486621594
98	0.3481230388
99	0.3475105495
100	0.3470556631
101	0.3466514545
102	0.3461541983
103	0.3457538025
104	0.3452920831
105	0.3450994259
106	0.3448609941
107	0.3444281897
108	0.3438781686
109	0.3432282096
110	0.3429113894
111	0.3425791898
112	0.3422263098
113	0.3417210719
114	0.3415094699
115	0.3412635475
116	0.3410477678
117	0.3407414873
118	0.3404781981
119	0.3401141735
120	0.3396572509
121	0.3394945177
122	0.3389468992
123	0.3385741573
124	0.3379897857
125	0.3376782455
126	0.3371858059
127	0.336983346
128	0.3367106696
129	0.3362601112
130	0.3359087419
131	0.3358171999
132	0.3354400141
133	0.3350642364
134	0.3347539917
135	0.3345911331
136	0.3341272574
137	0.3337673255
138	0.3334406206
139	0.3331050058
140	0.3329681531
141	0.3327337025
142	0.3320629434
143	0.3316658894
144	0.3313719671
145	0.3310640262
146	0.3303784677
147	0.3298760117
148	0.32968464
149	0.3293736802
150	0.3291106978
151	0.3290301121
152	0.3286993796
153	0.3283869462
154	0.3280644016
155	0.3276570415
156	0.327540527
157	0.3272138175
158	0.3270338277
159	0.3266956912
160	0.3264509272
161	0.326268997
162	0.3259090032
163	0.3255429345
164	0.3253408988
165	0.3250780619
166	0.3245924808
167	0.3240708949
168	0.3235124008
169	0.3233546742
170	0.3227775
171	0.3226965434
172	0.3225191005
173	0.3222790283
174	0.3220823262
175	0.321808575
176	0.3215056015
177	0.3213042388
178	0.3210853984
179	0.320868301
180	0.3205070976
181	0.3201605374
182	0.3198820511
183	0.3196317536
184	0.3193100392
185	0.3190156071
186	0.3188352213
187	0.3184067483
188	0.318242057
189	0.317948332
190	0.317688096
191	0.3174605937
192	0.3170119137
193	0.3167352076
194	0.3163846776
195	0.3160702672
196	0.3154171058
197	0.3152131527
198	0.3150028474
199	0.3146717441
200	0.3143670279
201	0.3141047898
202	0.3138853027
203	0.313152222
204	0.3129540668
205	0.3127303019
206	0.3124770386
207	0.3123173843
208	0.3119364921
209	0.3115929537
210	0.3112829131
211	0.3110362344
212	0.3106908423
213	0.3105544257
214	0.3102303105
215	0.3099889633
216	0.3096704055
217	0.3093902714
218	0.3089903427
219	0.3086697533
220	0.30822616
221	0.3079044171
222	0.3076681591
223	0.3074254383
224	0.3068049053
225	0.306625179
226	0.3063562888
227	0.3061679223
228	0.3057638453
229	0.3055012555
230	0.3051179795
231	0.3048151017
232	0.3044346284
233	0.304189453
234	0.3039497319
235	0.3035280747
236	0.3033797575
237	0.3030602815
238	0.3028016339
239	0.3025043116
240	0.302130875
241	0.3018585172
242	0.3017392748
243	0.301540828
244	0.3010926558
245	0.3007218028
246	0.3004984482
247	0.3002966767
248	0.3000481166
249	0.2996536997
250	0.2994525899
251	0.2991023747
252	0.2987479722
253	0.298424336
254	0.2982953884
255	0.2979363634
256	0.2975020487
257	0.2971564138
258	0.2968819588
259	0.2961031951
260	0.2957460769
261	0.295542449
262	0.2953190643
263	0.2949422311
264	0.2943350569
265	0.2940455021
266	0.2938242279
267	0.2935465124
268	0.2930165013
269	0.2927519424
270	0.2922642668
271	0.2918517752
272	0.2915827366
273	0.2913024488
274	0.2909205616
275	0.2908203988
276	0.2905115999
277	0.2902939203
278	0.2899339942
279	0.2896772671
280	0.2894254223
281	0.2891653368
282	0.2888310418
283	0.2885770395
284	0.2882239017
285	0.2879800984
286	0.2878281842
287	0.2875373161
288	0.2872962497
289	0.2870498692
290	0.2868784008
291	0.2866403858
292	0.2862910427
293	0.286118094
294	0.2857924556
295	0.2855309591
296	0.2853045279
297	0.284979803
298	0.2847478089
299	0.284468099
300	0.2843105366
301	0.2840900855
302	0.2839258484
303	0.2836860953
304	0.2834292153
305	0.2830800739
306	0.2829847801
307	0.2827974581
308	0.2826181362
309	0.2823073537
310	0.2820698678
311	0.2818483915
312	0.28162872
313	0.2812872114
314	0.2811358752
315	0.2809225972
316	0.2806985239
317	0.2805169477
318	0.2802814488
319	0.2801117872
320	0.2799761648
321	0.2796293749
322	0.2794059107
323	0.2792007468
324	0.2789720757
325	0.2785908915
326	0.2782365525
327	0.2780767927
328	0.2778945393
329	0.2777069954
330	0.2774979747
331	0.2772964401
332	0.2766770779
333	0.2764839182
334	0.2762781869
335	0.2759733244
336	0.2757714115
337	0.275618233
338	0.275484865
339	0.2753516412
340	0.2750672991
341	0.2747943193
342	0.2746130174
343	0.2743891507
344	0.2740575515
345	0.2738041217
346	0.2736117059
347	0.2733726383
348	0.2732411851
349	0.2731319602
350	0.2729031949
351	0.2728391973
352	0.2726429016
353	0.2724828338
354	0.2723368492
355	0.2720510691
356	0.2719015623
357	0.2717390145
358	0.2716290896
359	0.2713962176
360	0.2712006974
361	0.271079721
362	0.2708882389
363	0.2707504255
364	0.2705837975
365	0.2703329939
366	0.2701503694
367	0.2699734856
368	0.2696660354
369	0.2694587913
370	0.2692631313
371	0.2690353662
372	0.2687255998
373	0.2685237953
374	0.2682616692
375	0.2681087701
376	0.2679064665
377	0.2677495673
378	0.2675036581
379	0.2669650291
380	0.2665506647
381	0.2663069149
382	0.2660793302
383	0.2658963483
384	0.2657853649
385	0.2655931304
386	0.2654633145
387	0.2653324797
388	0.265045353
389	0.2646625266
390	0.2644411414
391	0.264342616
392	0.264152511
393	0.263863073
394	0.2636366011
395	0.2635443673
396	0.2632855613
397	0.2630333201
398	0.2626577837
399	0.2621483734
400	0.2619663096
401	0.2618562828
402	0.2615972145
403	0.2612233261
