iter	Passed	Remaining
0	11	8826
1	12	5027
2	14	3772
3	16	3249
4	17	2793
5	19	2531
6	21	2390
7	23	2246
8	25	2172
9	26	2056
10	28	2027
11	30	1958
12	31	1882
13	33	1850
14	35	1808
15	37	1787
16	39	1755
17	41	1773
18	42	1724
19	45	1729
20	47	1723
21	49	1693
22	50	1670
23	52	1670
24	54	1642
25	56	1631
26	57	1615
27	59	1593
28	60	1572
29	62	1565
30	64	1556
31	66	1558
32	67	1540
33	70	1545
34	71	1527
35	73	1527
36	75	1527
37	77	1519
38	79	1517
39	81	1507
40	83	1509
41	85	1501
42	86	1489
43	88	1489
44	90	1475
45	92	1474
46	93	1460
47	95	1458
48	97	1457
49	98	1443
50	100	1442
51	102	1434
52	104	1435
53	106	1432
54	108	1437
55	110	1433
56	112	1425
57	114	1428
58	117	1437
59	119	1441
60	121	1432
61	123	1439
62	126	1438
63	127	1433
64	129	1431
65	132	1434
66	133	1424
67	136	1429
68	137	1419
69	139	1423
70	144	1448
71	146	1448
72	148	1441
73	150	1442
74	152	1436
75	154	1431
76	156	1428
77	157	1423
78	159	1416
79	161	1413
80	162	1406
81	164	1401
82	165	1394
83	167	1390
84	168	1381
85	171	1384
86	173	1382
87	174	1374
88	176	1376
89	178	1369
90	179	1366
91	182	1365
92	183	1360
93	185	1360
94	187	1352
95	189	1355
96	191	1353
97	193	1348
98	194	1344
99	196	1340
100	198	1336
101	199	1331
102	201	1328
103	202	1320
104	204	1321
105	206	1314
106	208	1318
107	210	1315
108	212	1310
109	214	1307
110	216	1306
111	217	1302
112	219	1297
113	221	1295
114	222	1292
115	224	1286
116	226	1288
117	227	1281
118	230	1285
119	231	1279
120	234	1278
121	236	1277
122	237	1271
123	239	1271
124	241	1270
125	243	1268
126	244	1263
127	246	1261
128	248	1256
129	251	1259
130	252	1255
131	254	1255
132	257	1254
133	258	1248
134	260	1246
135	262	1245
136	263	1240
137	265	1240
138	267	1236
139	269	1234
140	271	1234
141	273	1230
142	274	1227
143	277	1228
144	278	1223
145	280	1221
146	281	1217
147	283	1215
148	285	1213
149	286	1209
150	288	1207
151	290	1202
152	292	1203
153	294	1199
154	295	1194
155	298	1195
156	299	1191
157	307	1215
158	308	1210
159	310	1208
160	312	1203
161	314	1202
162	315	1197
163	318	1198
164	319	1194
165	322	1197
166	324	1195
167	326	1194
168	328	1191
169	329	1187
170	332	1186
171	333	1182
172	335	1180
173	336	1177
174	339	1177
175	341	1174
176	342	1172
177	345	1171
178	346	1168
179	348	1165
180	350	1163
181	351	1160
182	353	1158
183	355	1156
184	357	1153
185	358	1150
186	361	1150
